game_id,team1_id,team2_id,map,winner_id,w_score,l_score
10484,101,107,Lotus,101,13,6
10485,115,111,Fracture,111,13,8
10486,115,111,Pearl,115,13,10
10487,115,111,Haven,111,13,6
10488,120,119,Haven,120,14,12
10489,120,119,Lotus,119,13,9
10490,120,119,Bind,119,14,12
10491,112,111,Split,111,13,6
10492,112,111,Lotus,111,13,3
10493,114,119,Pearl,114,13,11
10494,114,119,Split,114,13,5
10495,111,114,Haven,114,14,12
10496,111,114,Pearl,114,13,5
10497,112,119,Lotus,112,13,6
10498,112,119,Ascent,119,13,7
10499,112,119,Pearl,112,13,7
10500,111,112,Split,112,14,12
10501,111,112,Pearl,112,13,10
10502,111,112,Fracture,112,13,9
10503,114,112,Bind,114,13,11
10504,114,112,Lotus,114,13,7
10505,114,112,Haven,114,13,9
10506,126,123,Bind,123,13,7
10507,126,123,Lotus,123,13,8
10508,124,123,Split,124,14,12
10509,124,123,Ascent,123,13,4
10510,124,123,Bind,123,13,11
10511,121,122,Pearl,122,14,12
10512,121,122,Split,121,13,7
10513,121,122,Bind,121,13,7
10514,128,121,Pearl,128,13,8
10515,128,121,Fracture,121,13,5
10516,128,121,Split,128,13,8
10517,129,123,Split,123,13,5
10518,129,123,Lotus,123,13,7
10519,128,123,Ascent,128,13,4
10520,128,123,Pearl,123,13,4
10521,128,123,Haven,123,13,6
10522,121,129,Fracture,129,13,8
10523,121,129,Split,129,13,4
10524,128,129,Lotus,128,13,7
10525,128,129,Pearl,128,13,9
10526,128,129,Split,129,13,11
10527,128,129,Haven,129,13,10
10528,128,129,Bind,129,13,7
10529,123,129,Split,123,13,5
10530,123,129,Pearl,129,13,8
10531,123,129,Ascent,123,13,6
10532,123,129,Lotus,123,13,10
10533,117,112,Fracture,112,13,11
10534,117,112,Bind,112,17,15
10535,102,125,Lotus,125,15,13
10536,102,125,Split,102,13,6
10537,102,125,Ascent,102,13,8
10538,116,103,Pearl,116,13,4
10539,116,103,Haven,116,13,7
10540,127,133,Ascent,127,13,8
10541,127,133,Pearl,127,13,8
10542,112,102,Bind,102,15,13
10543,112,102,Split,112,13,9
10544,112,102,Lotus,102,14,12
10545,130,134,Lotus,134,14,12
10546,130,134,Split,134,13,8
10547,113,101,Fracture,113,13,5
10548,113,101,Haven,113,13,6
10549,127,116,Pearl,127,15,13
10550,127,116,Bind,127,13,9
10551,105,123,Split,105,13,7
10552,105,123,Pearl,105,13,8
10553,132,114,Split,114,15,13
10554,132,114,Bind,132,13,11
10555,132,114,Ascent,132,13,8
10556,113,134,Haven,113,13,2
10557,113,134,Lotus,113,13,8
10558,117,125,Haven,125,13,2
10559,117,125,Split,125,13,8
10560,133,103,Lotus,103,13,10
10561,133,103,Bind,103,13,7
10562,105,132,Fracture,105,13,7
10563,105,132,Pearl,105,16,14
10564,123,114,Lotus,114,13,10
10565,123,114,Pearl,114,14,12
10566,101,130,Haven,130,13,1
10567,112,125,Pearl,112,13,11
10568,112,125,Ascent,125,13,11
10569,112,125,Bind,125,13,11
10570,116,103,Bind,116,13,10
10571,116,103,Pearl,116,14,12
10572,132,114,Split,132,13,6
10573,132,114,Fracture,132,13,7
10574,134,130,Bind,134,13,10
10575,134,130,Ascent,134,13,5
10576,113,125,Ascent,125,13,11
10577,113,125,Lotus,125,13,6
10578,105,116,Ascent,105,13,10
10579,105,116,Pearl,105,13,4
10580,102,134,Lotus,102,13,10
10581,102,134,Haven,102,13,9
10582,127,132,Split,132,14,12
10583,127,132,Ascent,127,13,5
10584,127,132,Pearl,127,13,5
10585,113,116,Split,113,13,5
10586,113,116,Haven,113,13,9
10587,134,132,Bind,132,13,4
10588,134,132,Split,134,15,13
10589,134,132,Haven,132,13,10
10590,125,105,Lotus,105,15,13
10591,125,105,Split,125,13,2
10592,125,105,Pearl,105,13,10
10593,102,127,Fracture,127,13,9
10594,102,127,Lotus,127,13,4
10595,125,132,Bind,132,13,11
10596,125,132,Ascent,125,13,5
10597,125,132,Haven,125,13,11
10598,102,113,Bind,102,13,1
10599,102,113,Haven,113,13,9
10600,102,113,Split,113,13,6
10601,105,127,Ascent,127,13,10
10602,105,127,Bind,105,13,9
10603,105,127,Pearl,105,15,13
10604,113,125,Split,125,13,4
10605,113,125,Ascent,113,13,9
10606,113,125,Haven,125,13,7
10607,127,125,Ascent,127,14,12
10608,127,125,Lotus,127,13,4
10609,127,125,Pearl,125,13,8
10610,127,125,Split,125,13,7
10611,127,125,Bind,127,13,8
10612,105,127,Split,127,13,10
10613,105,127,Ascent,105,13,11
10614,105,127,Bind,127,13,5
10615,105,127,Lotus,127,13,10
